words,stim_type
ambition,crit_sh
beneficial,crit_sh
brochure,crit_sh
commercial,crit_sh
crucial,crit_sh
efficient,crit_sh
flourishing,crit_sh
glacier,crit_sh
graduation,crit_sh
impatient,crit_sh
initial,crit_sh
machinery,crit_sh
negotiate,crit_sh
official,crit_sh
parachute,crit_sh
pediatrician,crit_sh
publisher,crit_sh
reassure,crit_sh
refreshing,crit_sh
vacation,crit_sh
ambi(S)on,crit_sh_s
benefi(S)al,crit_sh_s
bro(S)ure,crit_sh_s
commer(S)al,crit_sh_s
cru(S)al,crit_sh_s
effi(S)ent,crit_sh_s
flouri(S)ing,crit_sh_s
gla(S)er,crit_sh_s
gradua(S)on,crit_sh_s
impa(S)ent,crit_sh_s
ini(S)al,crit_sh_s
ma(S)inery,crit_sh_s
nego(S)iate,crit_sh_s
offi(S)al,crit_sh_s
para(S)ute,crit_sh_s
pediatri(S)an,crit_sh_s
publ(S)er,crit_sh_s
rea(S)ure,crit_sh_s
refre(S)ing,crit_sh_s
vaca(S)on,crit_sh_s
arkansas,crit_s
coliseum,crit_s
compensate,crit_s
democracy,crit_s
dinosaur,crit_s
embarrass,crit_s
episode,crit_s
eraser,crit_s
hallucinate,crit_s
legacy,crit_s
literacy,crit_s
medicine,crit_s
obscene,crit_s
parasite,crit_s
penicillin,crit_s
personal,crit_s
pregnancy,crit_s
reconcile,crit_s
rehearsal,crit_s
tennessee,crit_s
arkan(SH)as,crit_s_sh
coli(SH)eum,crit_s_sh
compen(SH)ate,crit_s_sh
democra(SH)y,crit_s_sh
dino(SH)aur,crit_s_sh
embarra(SH),crit_s_sh
epi(SH)ode,crit_s_sh
era(SH)er,crit_s_sh
hallu(SH)inate,crit_s_sh
lega(SH)y,crit_s_sh
litera(SH)y,crit_s_sh
medi(SH)ine,crit_s_sh
ob(SH)cene,crit_s_sh
para(SH)ite,crit_s_sh
peni(SH)illin,crit_s_sh
per(SH)onal,crit_s_sh
pregnan(SH)y,crit_s_sh
recon(SH)ile,crit_s_sh
rehear(SH)al,crit_s_sh
tenne(SH)ee,crit_s_sh
acoMINig,fill_non
adMUNKer,fill_non
AKnid,fill_non
alnaDYEro,fill_non
aMALar,fill_non
aNEMer,fill_non
aNOlihpa,fill_non
AYlooman,fill_non
BAHwaseet,fill_non
BALiber,fill_non
BAMtel,fill_non
BIMEabell,fill_non
blihPARG,fill_non
byeKAYnian,fill_non
BYEmikay,fill_non
CLOHgidar,fill_non
DAHdigle,fill_non
dahTILLier,fill_non
DURKyuwomt,fill_non
emHOWtic,fill_non
emPAYkye,fill_non
EYEghee,fill_non
GAIRelom,fill_non
gallaWINow,fill_non
GANlah,fill_non
GHEEpalg,fill_non
GHILday,fill_non
gohNEEDial,fill_non
gonDIMyually,fill_non
GURByualla,fill_non
HALLken,fill_non
haLOMEmimac,fill_non
HILLder,fill_non
HILLiun,fill_non
HINtarber,fill_non
HOMEaname,fill_non
Ibarack,fill_non
ihGOLDian,fill_non
ihMOEyem,fill_non
ihTEMPider,fill_non
imDALier,fill_non
irRIMle,fill_non
ITHomel,fill_non
JOUMgel,fill_non
kahnahMEElum,fill_non
kalDEMMia,fill_non
kehGUIMul,fill_non
kehlaBIDEal,fill_non
KERkrun,fill_non
KERnihmer,fill_non
kloMIDdigger,fill_non
kraDOMMet,fill_non
KURadel,fill_non
lehNEDiaw,fill_non
LILLgray,fill_non
LINdle,fill_non
LIRTHa,fill_non
LOEguhlay,fill_non
LOObell,fill_non
MAHruhdoe,fill_non
MAIDnow,fill_non
MIBghem,fill_non
mihKIDD,fill_non
MOUWery,fill_non
NAMMuary,fill_non
NEKrihdle,fill_non
NEMpring,fill_non
NIRRitally,fill_non
NOEmemtolly,fill_non
NOEmerry,fill_non
NOEmuhray,fill_non
nuhWINNoe,fill_non
OHMakory,fill_non
omperROGG,fill_non
onPLERoh,fill_non
PAYKaloh,fill_non
PERglaroo,fill_non
PERKum,fill_non
PLOWPallye,fill_non
POGGyunem,fill_non
PORRilar,fill_non
RAWumbee,fill_non
RENjer,fill_non
rikMORal,fill_non
RILLagill,fill_non
RIMkuwar,fill_non
ROOMakick,fill_non
ruhKILL,fill_non
ryaKIRRity,fill_non
TAHlafeet,fill_non
TAMMical,fill_non
TIMMolype,fill_non
tuhLEGkuhlo,fill_non
Ungellnin,fill_non
waNONtic,fill_non
WAYsher,fill_non
WEEKary,fill_non
WOENimtic,fill_non
WOPPuhkin,fill_non
WOYalto,fill_non
accordian,fill_word
America,fill_word
annoying,fill_word
bakery,fill_word
blueberry,fill_word
bullying,fill_word
camera,fill_word
crocodile,fill_word
directory,fill_word
document,fill_word
domineering,fill_word
dynamite,fill_word
embody,fill_word
gardenia,fill_word
grammatical,fill_word
gullible,fill_word
hamburger,fill_word
honeymoon,fill_word
hurdle,fill_word
identical,fill_word
ignite,fill_word
immoral,fill_word
inhabit,fill_word
keyboard,fill_word
knowingly,fill_word
laminate,fill_word
legally,fill_word
liability,fill_word
lobbying,fill_word
lunatic,fill_word
lyrical,fill_word
manually,fill_word
melancholy,fill_word
membrane,fill_word
memory,fill_word
metrical,fill_word
military,fill_word
momentary,fill_word
napkin,fill_word
negate,fill_word
outnumber,fill_word
panicky,fill_word
parable,fill_word
parakeet,fill_word
pineapple,fill_word
platonic,fill_word
predict,fill_word
remedial,fill_word
romantic,fill_word
tactical,fill_word
terminal,fill_word
titanium,fill_word
turbulent,fill_word
tutorial,fill_word
umbrella,fill_word
undermine,fill_word
warrantee,fill_word
wealthy,fill_word
withdrawal,fill_word
wrinkle,fill_word
